дня?;меня?;
не?т;све?т;
де?нь;те?нь;
вно?вь;любо?вь;
меня?;огня?;
кро?вь;любо?вь;
но?чи;о?чи;
на?с;ча?с;
не?т;све?т;
дня?;меня?;
моя?;я?;
меня?;огня?;
де?нь;те?нь;
земле?;мгле?;
но?чи;о?чи;
ле?т;не?т;
моя?;я?;
кро?вь;любо?вь;
крови?;любви?;
на?с;ча?с;
ле?т;све?т;
любя?;тебя?;
вдали?;земли?;
гру?дь;пу?ть;
мне?;сне?;
вно?вь;любо?вь;
земля?;поля?;
души?;тиши?;
ве?к;че?лове?к;
судьбе?;тебе?;
мне?;сне?;
мечты?;ты?;
но?чь;про?чь;
ле?с;небе?с;
гру?дь;пу?ть;
душа?;дыша?;
мне?;ти?шине?;
ты?;цветы?;
мечты?;ты?;
гла?з;ра?з;
судьбе?;тебе?;
му?ки;ру?ки;
гла?з;на?с;
о?н;со?н;
глаза?;гроза?;
крови?;любви?;
дни?;они?;
ве?ка;че?лове?ка;
ты?;цветы?;
но?чь;про?чь;
ле?т;све?т;
не?т;отве?т;
земле?;мгле?;
гла?з;ча?с;
ле?т;не?т;
да?ль;печа?ль;
моги?лы;си?лы;
мы?;тьмы?;
ле?с;небе?с;
глаза?;гроза?;
кольцо?;лицо?;
зву?ки;му?ки;
земля?;поля?;
гла?з;ра?з;
зву?ки;ру?ки;
любя?;тебя?;
мне?;огне?;
го?ре;мо?ре;
о?н;со?н;
му?ки;ру?ки;
мне?;ти?шине?;
конца?;лица?;
разлу?ки;ру?ки;
вдали?;земли?;
кольцо?;лицо?;
дни?;они?;
взгля?дом;ря?дом;
ве?к;че?лове?к;
бы?тия?;я?;
го?ды;свобо?ды;
гла?з;на?с;
бы?тия?;я?;
друзья?;я?;
де?ти;све?те;
вно?вь;кро?вь;
зву?ки;ру?ки;
душа?;спеша?;
ва?с;ча?с;
души?;тиши?;
кро?вью;любо?вью;
мы?;тьмы?;
коня?;меня?;
го?ре;мо?ре;
бре?мя;вре?мя;
сме?рть;тве?рдь;
но?чь;помо?чь;
мне?;огне?;
земли?;пыли?;
найти?;пути?;
весны?;сны?;
лу?ч;ту?ч;
гла?з;ча?с;
весны?;сны?;
две?рь;тепе?рь;
дне?й;мое?й;
идти?;пути?;
де?ти;све?те;
но?чь;помо?чь;
кро?вью;любо?вью;
конца?;лица?;
ты?;черты?;
дня?;огня?;
глуши?;души?;
глаза?;слеза?;
не?т;поэ?т;
кра?соты?;мечты?;
звеня?;меня?;
дни?;огни?;
на?с;ра?з;
окно?;темно?;
кра?соты?;ты?;
крыльцо?;лицо?;
меня?;я?;
да?ль;печа?ль;
дне?й;мое?й;
давно?;окно?;
жи?зни;отчи?зне;
зови?;любви?;
до?чь;но?чь;
мо?ре;просто?ре;
ра?з;ча?с;
ка?мень;пла?мень;
ми?р;пи?р;
себе?;судьбе?;
конца?;сердца?;
ле?т;поэ?т;
дне?й;не?й;
не?т;цве?т;
небе?с;чуде?с;
не?ба;хле?ба;
поэ?т;све?т;
все?х;сме?х;
все?х;сме?х;
ле?т;сле?д;
мечты?;цветы?;
любя?;себя?;
ты?;черты?;
меня?;я?;
бу?ри;лазу?ри;
жа?ль;печа?ль;
ду?м;шу?м;
идти?;пути?;
госпо?дь;пло?ть;
вно?вь;кро?вь;
о?тдохну?ть;пу?ть;
отве?т;све?т;
ро?зы;сле?зы;
не?т;сле?д;
бо?га;мно?го;
кра?соты?;ты?;
моги?лы;си?лы;
небе?с;чуде?с;
